src,dst,weight
DSRS 5.3.1,RG 1.50,2
DSRS 5.3.1,RG 1.65,2
DSRS 5.4.7,RG 1.29,2
DSRS 5.4.7,RG 1.68,2
DSRS 6.2.5,SRP 14.3.10,2
DSRS 6.2.5,SRP 19.0,2
DSRS 6.3,RG 1.68,2
DSRS 8.3.2,RG 1.32,2
RG 1.138,SRP 3.5.2,2
RG 1.143,RG 1.155,2
RG 1.143,RG 1.221,2
RG 1.143,SRP 11.4,2
RG 1.143,SRP 14.3.10,2
RG 1.143,SRP 3.3.1,2
RG 1.155,SRP 9.2.6,2
RG 1.160,RG 1.68,2
RG 1.183,RG 1.29,2
RG 1.183,SRP 2.3.4,2
RG 1.194,RG 1.206,2
RG 1.194,SRP 2.3.3,2
RG 1.198,RG 1.28,2
RG 1.206,RG 1.53,2
RG 1.206,RG 1.57,2
RG 1.206,RG 1.76,2
RG 1.206,RG 1.8,2
RG 1.206,SRP 11.3,2
RG 1.206,SRP 13.1.1,2
RG 1.206,SRP 13.2.2,2
RG 1.206,SRP 14.3.10,2
RG 1.216,SRP 19.0,2
RG 1.23,RG 1.97,2
RG 1.23,SRP 11.3,2
RG 1.23,SRP 13.3,2
RG 1.26,SRP 3.7.1,2
RG 1.28,RG 1.50,2
RG 1.29,RG 1.45,2
RG 1.29,RG 1.68,2
RG 1.29,SRP 13.2.1,2
RG 1.29,SRP 2.4.12,2
RG 1.29,SRP 3.7.1,2
RG 1.33,SRP 13.5.1,2
RG 1.44,SRP 10.3.6,2
RG 1.45,RG 1.97,2
RG 1.57,SRP 3.9.1,2
RG 1.59,SRP 2.4.2,2
RG 1.59,SRP 2.4.5,2
RG 1.61,SRP 3.7.2,2
RG 1.68,SRP 10.2,2
RG 4.21,SRP 11.4,2
SRP 10.3.6,SRP 19.3,2
SRP 10.3.6,SRP 5.2.3,2
SRP 10.3.6,SRP 9.2.7,2
SRP 10.4.5,SRP 3.7.1,2
SRP 10.4.5,SRP 8.3.1,2
SRP 11.2,SRP 3.3.1,2
SRP 11.3,SRP 2.3.5,2
SRP 13.1.1,SRP 13.5.1,2
SRP 13.2.1,SRP 14.3.10,2
SRP 13.2.1,SRP 9.2.7,2
SRP 13.2.2,SRP 13.3,2
SRP 13.2.2,SRP 13.5.1,2
SRP 13.2.2,SRP 14.3.10,2
SRP 13.2.2,SRP 19.3,2
SRP 13.2.2,SRP 3.8.5,2
SRP 13.2.2,SRP 9.2.7,2
SRP 14.3.10,SRP 19.3,2
SRP 14.3.10,SRP 9.2.7,2
SRP 16.0,SRP 6.4,2
SRP 2.3.4,SRP 2.3.5,2
SRP 2.4.1,SRP 2.4.12,2
SRP 2.4.1,SRP 2.4.13,2
SRP 2.4.2,SRP 2.4.3,2
SRP 2.5.1,SRP 3.7.1,2
SRP 3.7.1,SRP 8.3.1,2
SRP 3.7.1,SRP 9.1.3,2
10 CFR Part 50,DSRS 11.2,1
10 CFR Part 50,DSRS 8.1,1
10 CFR Part 50,RG 1.36,1
10 CFR Part 50,SRP 11.4,1
10 CFR Part 50,SRP 15.4.8,1
10 CFR Part 50,SRP 9.5.2,1
DSRS 10.2.3,RG 1.8,1
DSRS 10.2.3,SRP 13.2.2,1
DSRS 11.1,DSRS 11.2,1
DSRS 11.1,SRP 2.4.13,1
DSRS 11.2,SRP 2.4.13,1
DSRS 12.2,RG 1.145,1
DSRS 14.2,DSRS 15.2.8,1
DSRS 14.2,DSRS 4.4,1
DSRS 14.2,DSRS 6.3,1
DSRS 14.2,RG 1.26,1
DSRS 14.2,SRP 14.2,1
DSRS 14.2,SRP 14.3.10,1
DSRS 15.1.5,SRP 14.3.10,1
DSRS 15.2.8,DSRS 4.4,1
DSRS 15.2.8,DSRS 5.3.1,1
DSRS 15.2.8,SRP 14.2,1
DSRS 15.2.8,SRP 3.9.1,1
DSRS 15.2.8,SRP 3.9.2,1
DSRS 15.2.8,SRP 3.9.3,1
DSRS 15.2.8,SRP 5.2.3,1
DSRS 3.11,DSRS 8.1,1
DSRS 3.11,RG 1.29,1
DSRS 3.11,RG 1.32,1
DSRS 3.11,RG 1.53,1
DSRS 3.7.1,RG 1.138,1
DSRS 3.7.1,RG 1.61,1
DSRS 3.7.1,SRP 19.0,1
DSRS 3.7.1,SRP 2.5.4,1
DSRS 3.7.1,SRP 3.7.2,1
DSRS 3.7.2,RG 1.138,1
DSRS 3.7.2,RG 1.61,1
DSRS 3.7.2,SRP 19.0,1
DSRS 3.7.2,SRP 2.5.4,1
DSRS 3.7.2,SRP 3.8.5,1
DSRS 3.8.2,RG 1.29,1
DSRS 3.8.4,RG 1.160,1
DSRS 3.8.4,RG 1.29,1
DSRS 3.8.4,SRP 2.5.2,1
DSRS 3.8.4,SRP 3.9.2,1
DSRS 4.4,RG 1.29,1
DSRS 4.4,SRP 14.3.10,1
DSRS 5.3.1,SRP 5.2.3,1
DSRS 5.4.7,DSRS 6.2.4,1
DSRS 5.4.7,DSRS 6.3,1
DSRS 5.4.7,RG 1.82,1
DSRS 5.4.7,SRP 14.3.10,1
DSRS 6.2.1,RG 1.143,1
DSRS 6.2.1,RG 1.183,1
DSRS 6.2.1,RG 1.71,1
DSRS 6.2.1,SRP 3.9.3,1
DSRS 6.3,RG 1.82,1
DSRS 6.6,RG 1.84,1
DSRS 6.6,SRP 13.2.2,1
DSRS 6.6,SRP 13.5.1,1
DSRS 8.1,DSRS 8.3.2,1
DSRS 8.1,RG 1.32,1
DSRS 8.3.2,RG 1.61,1
DSRS 8.4,RG 1.61,1
DSRS 8.4,SRP 14.3.10,1
DSRS 8.4,SRP 2.4.1,1
DSRS 9.3.6,RG 1.143,1
DSRS 9.3.6,RG 1.32,1
DSRS 9.3.6,SRP 17.5,1
RG 1.100,RG 1.53,1
RG 1.100,SRP 3.7.2,1
RG 1.138,RG 1.26,1
RG 1.138,RG 1.29,1
RG 1.138,SRP 2.5.1,1
RG 1.138,SRP 2.5.3,1
RG 1.138,SRP 3.7.1,1
RG 1.138,SRP 9.1.2,1
RG 1.138,SRP 9.1.3,1
RG 1.143,RG 1.160,1
RG 1.143,RG 1.32,1
RG 1.143,RG 1.71,1
RG 1.143,SRP 2.4.1,1
RG 1.143,SRP 2.4.13,1
RG 1.143,SRP 3.4.2,1
RG 1.143,SRP 3.7.1,1
RG 1.143,SRP 3.9.2,1
RG 1.143,SRP 9.1.3,1
RG 1.145,RG 1.183,1
RG 1.145,RG 1.97,1
RG 1.145,SRP 13.3,1
RG 1.147,RG 1.84,1
RG 1.147,SRP 13.2.2,1
RG 1.147,SRP 13.5.1,1
RG 1.155,RG 1.61,1
RG 1.155,RG 1.97,1
RG 1.155,SRP 13.3,1
RG 1.155,SRP 14.3.10,1
RG 1.155,SRP 2.4.1,1
RG 1.160,RG 1.221,1
RG 1.183,RG 1.71,1
RG 1.198,SRP 2.5.1,1
RG 1.198,SRP 2.5.3,1
RG 1.198,SRP 3.8.5,1
RG 1.20,RG 1.61,1
RG 1.20,RG 1.68,1
RG 1.20,SRP 13.2.1,1
